ID,Game_ID,Team,Line,Book,Home_Team,Away_Team,Start_Time,League,Line_Update,WinProbability,BookB,TeamB,LineB,WinProbabilityB,CombineWinProbability,WagerB,PayoutB,WagerA,PayoutA,CombineWager,CombinePayuot,MinimumNetPayout,WagerARounded,PayoutARounded,CombineWagerRounded,CombinePayuotRounded,MinimumNetPayoutRounded
b61ffe44c93a8e8deaa5bbe2d4271ee8,5,San Diego Padres,9.6,fanduel,San Diego Padres,Boston Red Sox,2023-05-19 21:40:00,MLB,2023-05-19 22:34:11,0.10416666666666667,draftkings,Boston Red Sox,1.08,0.9259259259259258,1.0300925925925926,100,108.0,11.25,108.0,111.25,216.0,-3.25,11.0,105.6,111.0,213.6,-5.400000000000006
b61ffe44c93a8e8deaa5bbe2d4271ee8,5,San Diego Padres,9.6,fanduel,San Diego Padres,Boston Red Sox,2023-05-19 21:40:00,MLB,2023-05-19 22:34:11,0.10416666666666667,betmgm,Boston Red Sox,1.08,0.9259259259259258,1.0300925925925926,100,108.0,11.25,108.0,111.25,216.0,-3.25,11.0,105.6,111.0,213.6,-5.400000000000006
eda61dfe9a4b9503cc608dd1b0646439,13,Miami Marlins,2.46,fanduel,San Francisco Giants,Miami Marlins,2023-05-20 16:05:00,MLB,2023-05-19 22:34:11,0.4065040650406504,betus,San Francisco Giants,1.63,0.6134969325153374,1.0200009975559878,100,163.0,66.26016260162602,163.0,166.260162601626,326.0,-3.260162601626007,66.0,162.35999999999999,166.0,325.36,-3.640000000000015
eda61dfe9a4b9503cc608dd1b0646439,13,Miami Marlins,2.46,fanduel,San Francisco Giants,Miami Marlins,2023-05-20 16:05:00,MLB,2023-05-19 22:34:11,0.4065040650406504,wynnbet,San Francisco Giants,1.63,0.6134969325153374,1.0200009975559878,100,163.0,66.26016260162602,163.0,166.260162601626,326.0,-3.260162601626007,66.0,162.35999999999999,166.0,325.36,-3.640000000000015
cb17f99c96dea1465070c51cca44d7dc,10,Chicago Cubs,2.46,fanduel,Philadelphia Phillies,Chicago Cubs,2023-05-20 16:05:00,MLB,2023-05-19 22:34:11,0.4065040650406504,wynnbet,Philadelphia Phillies,1.63,0.6134969325153374,1.0200009975559878,100,163.0,66.26016260162602,163.0,166.260162601626,326.0,-3.260162601626007,66.0,162.35999999999999,166.0,325.36,-3.640000000000015
0b2f2cda91300e5142e50e01eea55755,18,Minnesota Twins,2.12,fanduel,Los Angeles Angels,Minnesota Twins,2023-05-20 22:07:00,MLB,2023-05-19 22:34:11,0.4716981132075471,draftkings,Los Angeles Angels,1.83,0.5464480874316939,1.018146200639241,100,183.0,86.32075471698113,183.0,186.32075471698113,366.0,-3.320754716981128,86.0,182.32000000000002,186.0,365.32000000000005,-3.6799999999999784
0b2f2cda91300e5142e50e01eea55755,18,Minnesota Twins,2.07,betrivers,Los Angeles Angels,Minnesota Twins,2023-05-20 22:07:00,MLB,2023-05-19 22:34:15,0.48309178743961356,betus,Los Angeles Angels,1.87,0.53475935828877,1.0178511457283834,100,187.0,90.33816425120774,187.00000000000003,190.33816425120773,374.0,-3.338164251207729,90.0,186.29999999999998,190.0,373.29999999999995,-3.700000000000017
0b2f2cda91300e5142e50e01eea55755,18,Minnesota Twins,2.07,betrivers,Los Angeles Angels,Minnesota Twins,2023-05-20 22:07:00,MLB,2023-05-19 22:34:15,0.48309178743961356,wynnbet,Los Angeles Angels,1.87,0.53475935828877,1.0178511457283834,100,187.0,90.33816425120774,187.00000000000003,190.33816425120773,374.0,-3.338164251207729,90.0,186.29999999999998,190.0,373.29999999999995,-3.700000000000017
bd4162a0260b0a3314227c1463c910c7,8,Baltimore Orioles,2.3,wynnbet,Toronto Blue Jays,Baltimore Orioles,2023-05-20 15:07:00,MLB,2023-05-19 22:32:31,0.4347826086956522,betus,Toronto Blue Jays,1.71,0.5847953216374269,1.019577930333079,100,171.0,74.34782608695653,171.0,174.34782608695653,342.0,-3.3478260869565304,74.0,170.2,174.0,341.2,-3.8000000000000114
bd4162a0260b0a3314227c1463c910c7,8,Baltimore Orioles,2.3,wynnbet,Toronto Blue Jays,Baltimore Orioles,2023-05-20 15:07:00,MLB,2023-05-19 22:32:31,0.4347826086956522,draftkings,Toronto Blue Jays,1.71,0.5847953216374269,1.019577930333079,100,171.0,74.34782608695653,171.0,174.34782608695653,342.0,-3.3478260869565304,74.0,170.2,174.0,341.2,-3.8000000000000114
