ID,Game_ID,Team,Line,Book,Home_Team,Away_Team,Start_Time,League,Line_Update,WinProbability,BookB,TeamB,LineB,WinProbabilityB,CombineWinProbability,WagerB,PayoutB,WagerA,PayoutA,CombineWager,CombinePayuot,MinimumNetPayout,MaximumNetPayout,WagerARounded,PayoutARounded,CombineWagerRounded,CombinePayuotRounded,MinimumNetPayoutRounded,MaximumNetPayoutRounded
cb17f99c96dea1465070c51cca44d7dc,5,Philadelphia Phillies,1.61,draftkings,Philadelphia Phillies,Chicago Cubs,2023-05-20 16:05:00,MLB,2023-05-20 00:31:41,0.6211180124223602,wynnbet,Chicago Cubs,2.45,0.4081632653061224,1.0292812777284825,100,245.00000000000003,152.17391304347828,245.00000000000006,252.17391304347828,490.0000000000001,-7.173913043478251,-7.173913043478251,152.0,244.72000000000003,252.0,489.72,-7.279999999999973,-7.279999999999973
c29149d7163c7392eed06aec896064ba,9,New York Mets,1.61,draftkings,New York Mets,Cleveland Guardians,2023-05-20 16:10:00,MLB,2023-05-20 00:31:41,0.6211180124223602,betus,Cleveland Guardians,2.45,0.4081632653061224,1.0292812777284825,100,245.00000000000003,152.17391304347828,245.00000000000006,252.17391304347828,490.0000000000001,-7.173913043478251,-7.173913043478251,152.0,244.72000000000003,252.0,489.72,-7.279999999999973,-7.279999999999973
eda61dfe9a4b9503cc608dd1b0646439,8,San Francisco Giants,1.61,draftkings,San Francisco Giants,Miami Marlins,2023-05-20 16:05:00,MLB,2023-05-20 00:31:41,0.6211180124223602,betmgm,Miami Marlins,2.45,0.4081632653061224,1.0292812777284825,100,245.00000000000003,152.17391304347828,245.00000000000006,252.17391304347828,490.0000000000001,-7.173913043478251,-7.173913043478251,152.0,244.72000000000003,252.0,489.72,-7.279999999999973,-7.279999999999973
c29149d7163c7392eed06aec896064ba,9,New York Mets,1.61,wynnbet,New York Mets,Cleveland Guardians,2023-05-20 16:10:00,MLB,2023-05-20 00:28:28,0.6211180124223602,betus,Cleveland Guardians,2.45,0.4081632653061224,1.0292812777284825,100,245.00000000000003,152.17391304347828,245.00000000000006,252.17391304347828,490.0000000000001,-7.173913043478251,-7.173913043478251,152.0,244.72000000000003,252.0,489.72,-7.279999999999973,-7.279999999999973
cb17f99c96dea1465070c51cca44d7dc,5,Philadelphia Phillies,1.61,draftkings,Philadelphia Phillies,Chicago Cubs,2023-05-20 16:05:00,MLB,2023-05-20 00:31:41,0.6211180124223602,betmgm,Chicago Cubs,2.45,0.4081632653061224,1.0292812777284825,100,245.00000000000003,152.17391304347828,245.00000000000006,252.17391304347828,490.0000000000001,-7.173913043478251,-7.173913043478251,152.0,244.72000000000003,252.0,489.72,-7.279999999999973,-7.279999999999973
c29149d7163c7392eed06aec896064ba,9,New York Mets,1.61,betmgm,New York Mets,Cleveland Guardians,2023-05-20 16:10:00,MLB,2023-05-20 00:31:54,0.6211180124223602,betus,Cleveland Guardians,2.45,0.4081632653061224,1.0292812777284825,100,245.00000000000003,152.17391304347828,245.00000000000006,252.17391304347828,490.0000000000001,-7.173913043478251,-7.173913043478251,152.0,244.72000000000003,252.0,489.72,-7.279999999999973,-7.279999999999973
c29149d7163c7392eed06aec896064ba,9,New York Mets,1.59,pointsbetus,New York Mets,Cleveland Guardians,2023-05-20 16:10:00,MLB,2023-05-20 00:31:07,0.6289308176100629,wynnbet,Cleveland Guardians,2.5,0.4,1.0289308176100629,100,250.0,157.2327044025157,250.0,257.2327044025157,500.0,-7.232704402515708,-7.232704402515708,157.0,249.63000000000002,257.0,499.63,-7.369999999999976,-7.369999999999976
c29149d7163c7392eed06aec896064ba,9,New York Mets,1.59,pointsbetus,New York Mets,Cleveland Guardians,2023-05-20 16:10:00,MLB,2023-05-20 00:31:07,0.6289308176100629,fanduel,Cleveland Guardians,2.5,0.4,1.0289308176100629,100,250.0,157.2327044025157,250.0,257.2327044025157,500.0,-7.232704402515708,-7.232704402515708,157.0,249.63000000000002,257.0,499.63,-7.369999999999976,-7.369999999999976
cb17f99c96dea1465070c51cca44d7dc,5,Philadelphia Phillies,1.63,wynnbet,Philadelphia Phillies,Chicago Cubs,2023-05-20 16:05:00,MLB,2023-05-20 00:28:28,0.6134969325153374,draftkings,Chicago Cubs,2.4,0.4166666666666667,1.0301635991820042,100,240.0,147.23926380368098,240.0,247.23926380368098,480.0,-7.239263803680984,-7.239263803680984,147.0,239.60999999999999,247.0,479.61,-7.390000000000015,-7.390000000000015
eda61dfe9a4b9503cc608dd1b0646439,8,San Francisco Giants,1.63,betus,San Francisco Giants,Miami Marlins,2023-05-20 16:05:00,MLB,2023-05-20 00:31:03,0.6134969325153374,draftkings,Miami Marlins,2.4,0.4166666666666667,1.0301635991820042,100,240.0,147.23926380368098,240.0,247.23926380368098,480.0,-7.239263803680984,-7.239263803680984,147.0,239.60999999999999,247.0,479.61,-7.390000000000015,-7.390000000000015
